BARCODE NO,PURCHASE CLASS,DEPARTMENT,MERCHANDISE CATEGORY,Category,Sub category,ITEM DESCRIPTION,HEELS,GENDER,UPPER MATERIAL,OUTSOLE,VENDOR CODE,PRODUCT STYLE CODE,BRAND NAME,COLOR,SIZE,COST PRICE,PLANNED MRP,PRODUCT TAX,IMAGE LINK,HSN CODE,Product Tax Group
23052026008-37,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BEIGE,37,0.0,1399.0,18,,64041990,
23052026008-36,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BEIGE,36,0.0,1399.0,18,,64041990,
23052026007-42,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BLACK,42,0.0,1399.0,18,,64041990,
23052026007-41,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BLACK,41,0.0,1399.0,18,,64041990,
23052026007-40,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BLACK,40,0.0,1399.0,18,,64041990,
23052026007-39,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BLACK,39,0.0,1399.0,18,,64041990,
23052026007-38,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BLACK,38,0.0,1399.0,18,,64041990,
23052026007-37,,Products,CHAPPAL,CHAPPAL,MUEL,10019 CHAPPAL MUEL,,,,,,10019,SMRITI,BLACK,37,0.0,1399.0,18,,64041990,
23052026006-42,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BEIGE,42,0.0,1999.0,18,,64041990,
23052026006-41,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BEIGE,41,0.0,1999.0,18,,64041990,
23052026006-40,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BEIGE,40,0.0,1999.0,18,,64041990,
23052026006-39,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BEIGE,39,0.0,1999.0,18,,64041990,
23052026006-38,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BEIGE,38,0.0,1999.0,18,,64041990,
23052026006-37,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BEIGE,37,0.0,1999.0,18,,64041990,
23052026006-36,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BEIGE,36,0.0,1999.0,18,,64041990,
23052026005-42,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BLACK,42,0.0,1999.0,18,,64041990,
23052026005-41,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BLACK,41,0.0,1999.0,18,,64041990,
23052026005-40,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BLACK,40,0.0,1999.0,18,,64041990,
23052026005-39,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BLACK,39,0.0,1999.0,18,,64041990,
23052026005-38,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BLACK,38,0.0,1999.0,18,,64041990,
23052026005-37,,Products,SANDAL,SANDAL,MUEL,20001 SANDAL MUEL,,,,,,20001,SMRITI,BLACK,37,0.0,1999.0,18,,64041990,
23052026004-42,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,CREAM,42,0.0,1499.0,18,,64041990,
23052026004-41,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,CREAM,41,0.0,1499.0,18,,64041990,
23052026004-40,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,CREAM,40,0.0,1499.0,18,,64041990,
23052026004-39,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,CREAM,39,0.0,1499.0,18,,64041990,
23052026004-38,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,CREAM,38,0.0,1499.0,18,,64041990,
23052026004-37,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,CREAM,37,0.0,1499.0,18,,64041990,
23052026004-36,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,CREAM,36,0.0,1499.0,18,,64041990,
23052026003-42,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,BLACK,42,0.0,1499.0,18,,64041990,
23052026003-41,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,BLACK,41,0.0,1499.0,18,,64041990,
23052026003-40,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,BLACK,40,0.0,1499.0,18,,64041990,
23052026003-39,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,BLACK,39,0.0,1499.0,18,,64041990,
23052026003-38,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,BLACK,38,0.0,1499.0,18,,64041990,
23052026003-37,,Products,CHAPPAL,CHAPPAL,BURMY,2006 CHAPPAL BURMY,,,,,,2006,SMRITI,BLACK,37,0.0,1499.0,18,,64041990,
23052026002-42,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BEIGE,42,0.0,1899.0,18,,64041990,
23052026002-41,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BEIGE,41,0.0,1899.0,18,,64041990,
23052026002-40,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BEIGE,40,0.0,1899.0,18,,64041990,
23052026002-39,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BEIGE,39,0.0,1899.0,18,,64041990,
23052026002-38,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BEIGE,38,0.0,1899.0,18,,64041990,
23052026002-37,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BEIGE,37,0.0,1899.0,18,,64041990,
23052026002-36,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BEIGE,36,0.0,1899.0,18,,64041990,
23052026001-42,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BLACK,42,0.0,1899.0,18,,64041990,
23052026001-41,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BLACK,41,0.0,1899.0,18,,64041990,
23052026001-40,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BLACK,40,0.0,1899.0,18,,64041990,
23052026001-39,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BLACK,39,0.0,1899.0,18,,64041990,
23052026001-38,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BLACK,38,0.0,1899.0,18,,64041990,
23052026001-37,,Products,SANDAL,SANDAL,LASTIC PATTA,20016 SANDAL LASTIC PATTA,,,,,,20016,SMRITI,BLACK,37,0.0,1899.0,18,,64041990,
